time,h_plus,h_cross,amplitude
2.190000000000e+00,1.304654768201e-22,2.975816684965e-19,2.975816970957e-19
2.200000000000e+00,1.304654768201e-22,2.975816686515e-19,2.975816972508e-19
2.210000000000e+00,1.304654768201e-22,2.975816688066e-19,2.975816974059e-19
2.220000000000e+00,1.304654768201e-22,2.975816689617e-19,2.975816975610e-19
2.230000000000e+00,1.304654768201e-22,2.975816691168e-19,2.975816977161e-19
2.240000000000e+00,1.304654768201e-22,2.975816692719e-19,2.975816978712e-19
2.250000000000e+00,1.304654768201e-22,2.975816694270e-19,2.975816980263e-19
2.260000000000e+00,1.304654768201e-22,2.975816695821e-19,2.975816981813e-19
2.270000000000e+00,1.304654768201e-22,2.975816697372e-19,2.975816983364e-19
2.280000000000e+00,1.304654768201e-22,2.975816698922e-19,2.975816984915e-19
2.290000000000e+00,1.304654768201e-22,2.975816700473e-19,2.975816986466e-19
2.300000000000e+00,1.304654515765e-22,2.975816702024e-19,2.975816988017e-19
2.310000000000e+00,1.304654768201e-22,2.975816703575e-19,2.975816989568e-19
2.320000000000e+00,1.304654768201e-22,2.975816705126e-19,2.975816991119e-19
2.330000000000e+00,1.304654768201e-22,2.975816706677e-19,2.975816992670e-19
2.340000000000e+00,1.304654768201e-22,2.975816708228e-19,2.975816994220e-19
2.350000000000e+00,1.304654768201e-22,2.975816709779e-19,2.975816995771e-19
2.360000000000e+00,1.304654768201e-22,2.975816711329e-19,2.975816997322e-19
2.370000000000e+00,1.304654768201e-22,2.975816712880e-19,2.975816998873e-19
2.380000000000e+00,1.304654768201e-22,2.975816714431e-19,2.975817000424e-19
2.390000000000e+00,1.304654768201e-22,2.975816715982e-19,2.975817001975e-19
2.400000000000e+00,1.304654768201e-22,2.975816717533e-19,2.975817003526e-19
2.410000000000e+00,1.304654768201e-22,2.975816719084e-19,2.975817005076e-19
2.420000000000e+00,1.304654768201e-22,2.975816720635e-19,2.975817006627e-19
2.430000000000e+00,1.304655020636e-22,2.975816722185e-19,2.975817008178e-19
2.440000000000e+00,1.304655020636e-22,2.975816723736e-19,2.975817009729e-19
2.450000000000e+00,1.304655020636e-22,2.975816725287e-19,2.975817011280e-19
2.460000000000e+00,1.304655020636e-22,2.975816726838e-19,2.975817012831e-19
2.470000000000e+00,1.304654768201e-22,2.975816728389e-19,2.975817014382e-19
2.480000000000e+00,1.304654768201e-22,2.975816729940e-19,2.975817015933e-19
2.490000000000e+00,1.304654768201e-22,2.975816731491e-19,2.975817017483e-19
2.500000000000e+00,1.304654768201e-22,2.975816733042e-19,2.975817019034e-19
2.510000000000e+00,1.304654768201e-22,2.975816734592e-19,2.975817020585e-19
2.520000000000e+00,1.304654768201e-22,2.975816736143e-19,2.975817022136e-19
2.530000000000e+00,1.304654768201e-22,2.975816737694e-19,2.975817023687e-19
2.540000000000e+00,1.304654768201e-22,2.975816739245e-19,2.975817025238e-19
2.550000000000e+00,1.304655020636e-22,2.975816740796e-19,2.975817026789e-19
2.560000000000e+00,1.304655020636e-22,2.975816742347e-19,2.975817028340e-19
2.570000000000e+00,1.304655020636e-22,2.975816743898e-19,2.975817029891e-19
2.580000000000e+00,1.304655020636e-22,2.975816745449e-19,2.975817031441e-19
2.590000000000e+00,1.304655020636e-22,2.975816746999e-19,2.975817032992e-19
2.600000000000e+00,1.304655020636e-22,2.975816748550e-19,2.975817034543e-19
